Step,Heads Pruned,Time_AE_sec,Time_Random_sec
1,1,6.132845002983231,6.125359074008884
2,2,6.118198268988635,6.117559828009689
3,3,6.097807296027895,6.115666155004874
4,4,6.074606581998523,6.101343557005748
5,5,6.0631010649958625,6.088552708009956
6,6,6.044501439027954,6.059626114991261
7,7,6.048072803008836,6.056851325003663
8,8,6.037568959989585,6.035449249000521
9,9,6.023886057024356,6.034242046996951
10,10,6.00999293703353,6.036482330993749
11,11,6.093436635972466,6.111630175000755
12,12,5.999141785025131,6.012541495991172
13,13,5.990125453972723,6.009300814999733
14,14,5.972596023988444,5.995964896021178
15,15,5.969795256969519,6.007806761015672
16,16,5.966269842989277,5.972598885011394
17,17,5.946186607994605,5.962446218996774
18,18,5.94222498498857,5.935153499012813
19,19,5.939540942024905,5.950120337016415
20,20,5.918655655987095,5.918170325021492
21,21,5.914608554972801,5.9975667130202055
22,22,5.975129201018717,5.894022666994715
23,23,5.870168155001011,5.877562073990703
24,24,5.853829236992169,5.852008784015197
25,25,5.845990094006993,5.849684882006841
26,26,5.832791027030908,5.824269809003454
27,27,5.815546074009035,5.820413067005575
28,28,5.801115749985911,5.800129373994423
29,29,5.791112578997854,5.77424719199189
30,30,5.75931114301784,5.761674495995976
31,31,5.745761549042072,5.749980332009727
32,32,5.729895650991239,5.819089964003069
33,33,5.7840037470450625,5.722670109011233
34,34,5.7105376010295,5.707643711997662
35,35,5.689403485041112,5.687223154003732
36,36,5.665481933974661,5.663806232973002
37,37,5.656083888025023,5.65241952802171
38,38,5.6523399369907565,5.630215760989813
39,39,5.630754537996836,5.617657914001029
40,40,5.613005043996964,5.602462481008843
41,41,5.604229445976671,5.597398407000583
42,42,5.578565761970822,5.683294574992033
43,43,5.5516480329679325,5.567535587993916
44,44,5.688022324000485,5.5573639390058815
45,45,5.550236783979926,5.54496320898761
46,46,5.52625233103754,5.536391475994606
47,47,5.5033206950174645,5.523379762977129
48,48,5.493512415967416,5.493083698005648
49,49,5.47360327799106,5.481736281013582
50,50,5.46515925595304,5.461843511002371
51,51,5.437157475971617,5.457287522993283
52,52,5.421713248011656,5.522545909974724
53,53,5.42476116999751,5.421197880001273
54,54,5.492275753989816,5.405653552006697
55,55,5.385275271954015,5.395984988019336
56,56,5.374668326985557,5.371771117992466
57,57,5.3629978650133125,5.35227734898217
58,58,5.345664702996146,5.3376588789979
59,59,5.326700911973603,5.3197087250009645
60,60,5.321998125000391,5.296687024005223
61,61,5.296021187969018,5.298275998997269
62,62,5.272264458995778,5.339871991018299
63,63,5.253501416009385,5.262849599006586
64,64,5.241004233947024,5.2476270720071625
65,65,5.314556305005681,5.224786136008333
66,66,5.2265951199806295,5.21399953099899
67,67,5.190208170039114,5.196750254981453
68,68,5.187523233995307,5.188109737995546
69,69,5.155288884008769,5.170390437007882
70,70,5.15652424597647,5.148013111000182
71,71,5.121820505999494,5.125745919009205
72,72,5.114603167981841,5.12344431199017
73,73,5.098849561996758,5.176596839999547
74,74,5.089836005994584,5.079192823992344
75,75,5.148408220964484,5.080654649005737
76,76,5.045385507051833,5.065135590004502
