Step,Heads Pruned,Time_AE_sec,Time_Random_sec,Time_AE_Inverse_sec
1,1,0.318519908003509,0.305317719001323,0.44960365202859975
2,2,0.3058084469812456,0.3098782669985667,0.3171929270029068
3,3,0.3119718180096242,0.3199197780049871,0.32061971302027814
4,4,0.3162350770144257,0.3292521350085735,0.3341578449762892
5,5,0.3163121909892652,0.3279790800006594,0.33684223899035715
6,6,0.3155785309791099,0.3284059860161505,0.33418159300344996
7,7,0.3173396550118923,0.3222440060053486,0.3344584869919345
8,8,0.311004438000964,0.3330379590042867,0.342158734012628
9,9,0.3102091720211319,0.3362654240045231,0.3323152469820343
10,10,0.3094725260161794,0.3394003470020834,0.3410864000034053
11,11,0.306007695995504,0.3525954170036129,0.3389315640088171
12,12,0.3061753450019751,0.3595509200240485,0.33926554399658926
13,13,0.3148582729918416,0.3538615720171947,0.3455764570098836
14,14,0.309937294019619,0.3575893749948591,0.3397647599922493
15,15,0.3084359690255951,0.3629111659829505,0.33833196500199847
16,16,0.3062786490190774,0.3644333560077939,0.33641377100138925
17,17,0.3084291929844767,0.3687043169920798,0.33457938898936845
18,18,0.3052402170142159,0.3670640750206075,0.32811461901292205
19,19,0.3114263309980742,0.3716013290104456,0.32767457800218835
20,20,0.3102885909902397,0.3813398600032087,0.3260782239958644
21,21,0.3120330960082356,0.3761117089889012,0.32397571598994546
22,22,0.3139190319925546,0.3706872120092157,0.3264600340044126
23,23,0.3069957469997462,0.3725502729939762,0.32339299301384017
24,24,0.3069853440101724,0.3640954380098264,0.319407149014296
25,25,0.306490049988497,0.36420157799148,0.319967862975318
26,26,0.3041510900075082,0.3627969490189571,0.31896772197796963
27,27,0.3031952859892044,0.371286150009837,0.3182851949823089
28,28,0.3001722350018099,0.3658945960050914,0.3164139870204963
29,29,0.308669465011917,0.3622697940154467,0.31543874699855223
30,30,0.3040504669770598,0.3647676359978504,0.31628394400468096
31,31,0.3036630010174121,0.3561405399814248,0.3222814320179168
32,32,0.2990754630009178,0.3545256029756274,0.31877475100918673
33,33,0.3034845140064135,0.3545915650029201,0.31811257399385795
34,34,0.3015493770071771,0.3523978570010513,0.3139720229955856
35,35,0.3099795500165783,0.3516137179976795,0.3127172489766963
36,36,0.3054211330018006,0.3468189720006194,0.31267686001956463
37,37,0.3102084699785337,0.3477430670172907,0.3092704099835828
38,38,0.3027418800047599,0.3485615350073203,0.31005732697667554
39,39,0.3023192429973278,0.3407178240013309,0.30835507399751805
40,40,0.3026039900141768,0.3436309069802519,0.3062266719934996
41,41,0.3001747730013449,0.3403037939860951,0.3034415389993228
42,42,0.2999848799954634,0.3388169739919249,0.3027869420184288
43,43,0.3006057479942683,0.3376933079853188,0.30271935000200756
44,44,0.2980250889959279,0.3423689769988414,0.3011071580112912
45,45,0.2914815460098907,0.3402107979927677,0.3008784010016825
46,46,0.2996695979963988,0.3401705469877925,0.30019035801524296
47,47,0.30717412600643,0.3310111059981864,0.2986183990142308
48,48,0.3008539709844626,0.3297036190051585,0.2993694930046331
49,49,0.3073727549926843,0.3342711710138246,0.297652878012741
50,50,0.3067566140089184,0.3296704629901796,0.29688026098301634
51,51,0.3016950669989455,0.3300069800170604,0.290636693011038
52,52,0.301280098996358,0.3245062020141631,0.2936104030231945
53,53,0.2993787039886229,0.3249821199860889,0.29173432700918056
54,54,0.3105077570071444,0.3233793410181533,0.28833690300234593
55,55,0.3076198839989956,0.3173849529994186,0.2892064449843019
56,56,0.3086027209938038,0.318209452991141,0.2894640329759568
57,57,0.3080972350144293,0.3227232249919325,0.2858071019873023
58,58,0.3027726320142392,0.3201275949832052,0.2862464349891525
59,59,0.2973260250000749,0.3214952730049845,0.28513134698732756
60,60,0.3010225399921182,0.3180969899985939,0.2811432959861122
61,61,0.3091191739949863,0.3137402810098137,0.2841374379931949
62,62,0.3177801790006924,0.3136262820044067,0.2793257700104732
63,63,0.3132951880106702,0.3096546490269247,0.28033412800868973
64,64,0.3098924579971935,0.3096927299920935,0.2756519970134832
65,65,0.3085681039956398,0.3130099709960632,0.2795412639970891
66,66,0.3049179500085301,0.3108987489831634,0.27357749102520756
67,67,0.3111461499938741,0.3122538349998649,0.2755997159983963
68,68,0.3118016090011224,0.3077304920007009,0.2731256029801443
69,69,0.3051901840080973,0.3080446640087757,0.2697148020088207
70,70,0.3003157830098644,0.3053437250200659,0.26796629300224595
71,71,0.2998576710233465,0.3040534640022088,0.267080399004044
72,72,0.2986109150224365,0.3051674969901796,0.2670758120075334
73,73,0.2977191850077361,0.3880505250126589,0.26594480898347683
74,74,0.2987055519770365,0.3031104390101973,0.2645302780147176
75,75,0.2937892479822039,0.2982355149870273,0.26272654699278064
76,76,0.2947550730023067,0.2964099149976391,0.25975850599934347
77,77,0.2920189469878096,0.2987429719942156,0.2604392530047335
78,78,0.2921411370043643,0.2934656830038875,0.2610193869913928
79,79,0.2926526730007026,0.2938388669863343,0.2570873369986657
80,80,0.2907826059963554,0.2917152520094532,0.2682675139803905
81,81,0.2856130319996737,0.2883812579966616,0.2652640030137263
82,82,0.2875424630183261,0.2872327500081155,0.2619829819886945
83,83,0.3686210759915411,0.2877858490101062,0.262153596006101
84,84,0.2820828469994012,0.2872362920024898,0.2602336260024458
85,85,0.2853382260072976,0.2848148409975692,0.3376097859872971
86,86,0.2831121110066306,0.2830829359882045,0.25782012997660786
87,87,0.2830894280050415,0.283299311005976,0.2556409990065731
88,88,0.2826827999961097,0.2815372019831557,0.2521135130082257
89,89,0.2814547139860224,0.2746024559892248,0.2534596559999045
90,90,0.2759970799961593,0.2745403780136257,0.2499716900056228
91,91,0.2740482660010457,0.2761988019919954,0.24845913599710912
92,92,0.2810597890056669,0.2728593349747825,0.25189261298510246
93,93,0.2791796620003879,0.2737451540015172,0.24629790399922058
94,94,0.2733289889874868,0.2736467109934892,0.26001004900899716
95,95,0.2708973610133398,0.2742095460125711,0.2532345810031984
96,96,0.2712522149959113,0.273208840022562,0.2521683670056518
97,97,0.269998815987492,0.2744179959991015,0.25095937799778767
98,98,0.269557232997613,0.2718345450120978,0.2486306150094606
99,99,0.2643526600149926,0.2737862539943307,0.24627980098011903
100,100,0.2637211679830216,0.2684960790211335,0.24917084400658496
101,101,0.2659386149898637,0.2679725709895137,0.2447338130150456
102,102,0.2585268010152504,0.2616482290031854,0.24298789398744702
103,103,0.2650708330038469,0.2612986800086219,0.24196049198508263
104,104,0.2596419760084245,0.2619987270154524,0.24498326700995676
105,105,0.263736055989284,0.2604557939921506,0.23950306299957447
106,106,0.2568173019972164,0.2598678820068016,0.23608658599550836
107,107,0.2566492490004748,0.2572663809987716,0.23503864099620841
108,108,0.2530306080006994,0.2569713080010842,0.23480183599167503
109,109,0.2506862049922347,0.2558883540041279,0.23554981997585855
110,110,0.2517436420021113,0.2536392789916135,0.23259808798320591
111,111,0.251202606013976,0.2544870449928567,0.24350664200028405
112,112,0.246319270983804,0.2474221720185596,0.23901008800021373
113,113,0.2469915540132206,0.251133410987677,0.24004003801383078
114,114,0.2454246990091633,0.2496767919801641,0.23601124802371487
115,115,0.2422851739975158,0.2447119440184906,0.23276121099479496
116,116,0.2394919529906474,0.2450230930116959,0.2307812350045424
117,117,0.2411216739856172,0.2423963750188704,0.23092343399184756
118,118,0.2427752200164832,0.2417766609869431,0.22884989800513722
119,119,0.2431428800045978,0.2384091959975194,0.2304264870181214
120,120,0.2386039179982617,0.2389631330152042,0.23528240399900824
121,121,0.2394094889750704,0.2375704989826772,0.2337568669754546
122,122,0.2390974719892256,0.2355436329962685,0.23155656500603072
123,123,0.2376198889978695,0.2369072299916297,0.23420531500596553
124,124,0.2315972899959888,0.2322228800039738,0.2292538699985016
125,125,0.2286600949882995,0.2337433629727456,0.2316281140083447
126,126,0.2263943500001914,0.2314573549956549,0.2279570389946457
127,127,0.2265699410054367,0.2299047919805161,0.2238514039781876
128,128,0.2294286059914156,0.2305962690152228,0.2214066169981379
129,129,0.2254181559837889,0.2260541779978666,0.22523232601815835
130,130,0.223051191016566,0.2247450319991912,0.22411204100353643
131,131,0.2212214730097912,0.2227127749938517,0.2199402060068678
132,132,0.221787069021957,0.2229713840060867,0.21689085400430486
133,133,0.2196248510153964,0.2219197980011813,0.21919103400432505
134,134,0.2214082599966786,0.2188738280092366,0.2182950769783929
135,135,0.2203376700053922,0.2180703089979943,0.21787853102432564
136,136,0.2175738270161673,0.2156655290164053,0.21524102499824949
137,137,0.2134373539884109,0.2177261679898947,0.21025217400165275
138,138,0.2124390430108178,0.2186495590140111,0.21261487499577925
139,139,0.2140842420049011,0.2150656729936599,0.21196883800439537
140,140,0.2111239100049715,0.2112339129962492,0.21094168201670982
141,141,0.2086233480076771,0.2067383409885224,0.20620857700123452
142,142,0.2043060059950221,0.2043304220132995,0.20470489200670272
143,143,0.2049273939919658,0.2042778260074556,0.20990393200190738
144,144,0.2024190210213419,0.2040140239987522,0.2017192279745359
