Step,Heads Pruned,Time_AE_sec,Time_Random_sec
1,1,3.738359301001765,3.722848698002053
2,2,3.743299031979405,3.712959843978752
3,3,3.7143138790270314,3.721101594011998
4,4,3.707199013966602,3.7228728710033465
5,5,3.6890866679605097,3.715769436996197
6,6,3.6782291139825247,3.699922035011696
7,7,3.685352840984706,3.6846749279939104
8,8,3.6812676889821887,3.689424489013618
9,9,3.6893318090005778,3.6970584880036768
10,10,3.6779642440378666,3.687530727998819
11,11,3.658719110011589,3.68930644899956
12,12,3.650035093014594,3.6899758350045886
13,13,3.638060419994872,3.685789404000389
14,14,3.6295195349957794,3.6757420009817
15,15,3.6219662009971216,3.670265532011399
16,16,3.62065476301359,3.654848258011043
17,17,3.593794822052587,3.653120208007749
18,18,3.5953548459801823,3.732681316003436
19,19,3.674109494953882,3.656968022987712
20,20,3.591748532024212,3.6352797180006746
21,21,3.5911744509940036,3.638673023000592
22,22,3.5829665140481666,3.624625016003847
23,23,3.5820809249999,3.608669476001523
24,24,3.5726563400239684,3.5983059710124508
25,25,3.5513579940306954,3.591083767008968
26,26,3.5455326240044087,3.574442802986596
27,27,3.5377568030380644,3.5721262749866582
28,28,3.5287005840218626,3.5536731450119987
29,29,3.525635518017225,3.5403768440010026
30,30,3.508225539990235,3.5344347569916863
31,31,3.505018243973609,3.5295790469972417
32,32,3.4942250019521452,3.5240816799923778
33,33,3.4872469489928335,3.5071451519906987
34,34,3.4878871150431223,3.4970417549775448
35,35,3.472449926019181,3.55941620800877
36,36,3.4526471229619347,3.47235978700337
37,37,3.5615434339852072,3.4640662359888665
38,38,3.4390881120343693,3.4607455850054976
39,39,3.432323416986037,3.443457789020613
40,40,3.4206092579988763,3.432410838024225
41,41,3.4187571419752203,3.4286047219939064
42,42,3.392015062039718,3.4235666710010264
43,43,3.3843348750378937,3.406275593995815
44,44,3.3761717089801095,3.3993788059742656
45,45,3.3774131850223057,3.390603234001901
46,46,3.360096449032426,3.383570427977247
47,47,3.3546603620052338,3.3771193560096435
48,48,3.3510097059770487,3.364075805002358
49,49,3.34741823800141,3.352953551016981
50,50,3.3375438309740275,3.3339487400080543
51,51,3.3227175830397755,3.418692095001461
52,52,3.3210867349989712,3.3257710289908573
53,53,3.3036267120041884,3.3228826409904286
54,54,3.303849940013606,3.3057276790204924
55,55,3.3835854060016572,3.302433425007621
56,56,3.284118833951652,3.2806083179893903
57,57,3.2844493669690564,3.2756448260042816
58,58,3.2782243780093268,3.277592307975283
59,59,3.2659743370022625,3.2632574049930554
60,60,3.2460127570084296,3.251225598010933
61,61,3.235674593015574,3.237024158996064
62,62,3.2277544290409423,3.2401220650062896
63,63,3.2118245029705577,3.218331850977848
64,64,3.202538600016851,3.2059207749844063
65,65,3.2023752700188197,3.2039386959804688
66,66,3.1923874329659157,3.199987872998463
67,67,3.180043899046723,3.1891120660002343
68,68,3.175332824990619,3.2545308959961403
69,69,3.167092274001334,3.159561484993901
70,70,3.1543780869687907,3.154392711992841
71,71,3.143050542974379,3.1436594760161825
72,72,3.205705324013252,3.1254968279972672
73,73,3.119583120045718,3.115279207006097
74,74,3.109758011996746,3.1074087749875616
75,75,3.0947807310149074,3.0981633690244053
76,76,3.0895567379775457,3.0884959470131435
77,77,3.075007844949141,3.087572315998841
78,78,3.063182203040924,3.0743278770241886
79,79,3.0536913070245646,3.0599956049991306
80,80,3.044080986001063,3.0542495980043896
81,81,3.041171927994583,3.0405818599974737
82,82,3.0227831299998797,3.02177535300143
83,83,3.012919000000693,3.0114236530207563
84,84,2.99710303597385,3.0053944810060784
85,85,2.9946138209779747,3.083807257004082
86,86,2.983794926025439,3.0006674329924863
87,87,2.9763252589618787,2.9891739409940783
88,88,2.9571480430313386,2.973649942985503
89,89,3.032535631034989,2.956440265988931
90,90,2.9418057010043412,2.950745485984953
91,91,2.9394703740254045,2.940518588991836
92,92,2.956445352989249,2.931893504981417
93,93,2.9523132580216043,2.9228595470194705
94,94,2.938322388974484,2.9050616180174984
95,95,2.9264022759743966,2.898265424009878
96,96,2.918075768975541,2.891740937018767
97,97,2.9063522400101647,2.87862158799544
98,98,2.8983103969949298,2.876122920017224
99,99,2.871714206994511,2.8607031260035
100,100,2.8392430109670386,2.85044714200194
101,101,2.830248869024217,2.8456148370169103
102,102,2.8138166990247555,2.911279052001192
103,103,2.8023431620094925,2.820615499018458
