Heads Pruned,Accuracy_Gnorm
0,0.9220183486238532
1,0.9220183486238532
2,0.9220183486238532
3,0.9220183486238532
4,0.9220183486238532
5,0.9243119266055045
6,0.9231651376146789
7,0.9220183486238532
8,0.9208715596330275
9,0.9208715596330275
10,0.9208715596330275
11,0.9220183486238532
12,0.9220183486238532
13,0.9220183486238532
14,0.9208715596330275
15,0.9220183486238532
16,0.9231651376146789
17,0.9231651376146789
18,0.9231651376146789
19,0.9231651376146789
20,0.926605504587156
21,0.9231651376146789
22,0.9243119266055045
23,0.9254587155963303
24,0.9231651376146789
25,0.9162844036697247
26,0.9162844036697247
27,0.9174311926605505
28,0.9174311926605505
29,0.9185779816513762
30,0.9185779816513762
31,0.9162844036697247
32,0.9174311926605505
33,0.9174311926605505
34,0.9185779816513762
35,0.9162844036697247
36,0.9162844036697247
37,0.9162844036697247
38,0.9162844036697247
39,0.9162844036697247
40,0.9151376146788991
41,0.9105504587155964
42,0.9128440366972477
43,0.911697247706422
44,0.911697247706422
45,0.9151376146788991
46,0.9059633027522935
47,0.9059633027522935
48,0.9059633027522935
49,0.9094036697247706
50,0.9105504587155964
51,0.9094036697247706
52,0.9059633027522935
53,0.9059633027522935
54,0.9036697247706422
55,0.9036697247706422
56,0.9025229357798165
57,0.9025229357798165
58,0.9036697247706422
59,0.9025229357798165
60,0.9048165137614679
61,0.9059633027522935
62,0.9059633027522935
63,0.9013761467889908
64,0.9048165137614679
65,0.8979357798165137
66,0.9036697247706422
67,0.8979357798165137
68,0.8990825688073395
69,0.893348623853211
70,0.893348623853211
71,0.893348623853211
72,0.8979357798165137
