Heads Pruned,Accuracy_Gnorm
0,0.9243119266055045
1,0.9220183486238532
2,0.9185779816513762
3,0.9174311926605505
4,0.9174311926605505
5,0.9174311926605505
6,0.9185779816513762
7,0.9185779816513762
8,0.9174311926605505
9,0.9185779816513762
10,0.9174311926605505
11,0.9162844036697247
12,0.9162844036697247
13,0.9162844036697247
14,0.9162844036697247
15,0.9162844036697247
16,0.9174311926605505
17,0.9162844036697247
18,0.9162844036697247
19,0.9174311926605505
20,0.9185779816513762
21,0.9174311926605505
22,0.9185779816513762
23,0.9197247706422018
24,0.9208715596330275
25,0.9185779816513762
26,0.9197247706422018
27,0.9185779816513762
28,0.9162844036697247
29,0.9151376146788991
30,0.9151376146788991
31,0.9151376146788991
32,0.9174311926605505
33,0.9162844036697247
34,0.9151376146788991
35,0.9197247706422018
36,0.9220183486238532
37,0.9220183486238532
38,0.9231651376146789
39,0.9243119266055045
40,0.9231651376146789
41,0.9231651376146789
42,0.9254587155963303
43,0.9243119266055045
44,0.9231651376146789
45,0.9220183486238532
46,0.9185779816513762
47,0.9208715596330275
48,0.9208715596330275
49,0.9185779816513762
50,0.9162844036697247
51,0.9162844036697247
52,0.9151376146788991
53,0.9139908256880734
54,0.9162844036697247
55,0.9151376146788991
56,0.9185779816513762
57,0.9151376146788991
58,0.911697247706422
59,0.9139908256880734
60,0.9128440366972477
61,0.911697247706422
62,0.911697247706422
63,0.9071100917431193
64,0.9048165137614679
65,0.9059633027522935
66,0.9071100917431193
67,0.908256880733945
68,0.911697247706422
69,0.911697247706422
70,0.9071100917431193
71,0.9002293577981652
72,0.9071100917431193
73,0.9002293577981652
74,0.8979357798165137
75,0.8956422018348624
76,0.8979357798165137
77,0.8979357798165137
78,0.9013761467889908
79,0.9013761467889908
80,0.9002293577981652
81,0.9025229357798165
82,0.9025229357798165
83,0.9013761467889908
84,0.8979357798165137
85,0.9002293577981652
86,0.9002293577981652
87,0.8990825688073395
88,0.8979357798165137
89,0.8990825688073395
90,0.9013761467889908
91,0.9025229357798165
92,0.8944954128440367
93,0.8899082568807339
94,0.8887614678899083
95,0.8887614678899083
96,0.8899082568807339
97,0.8910550458715596
98,0.8864678899082569
99,0.8887614678899083
100,0.8864678899082569
101,0.8899082568807339
102,0.8772935779816514
103,0.8784403669724771
104,0.8692660550458715
105,0.8658256880733946
106,0.8646788990825688
107,0.8600917431192661
108,0.8509174311926605
109,0.8440366972477065
110,0.8440366972477065
111,0.8107798165137615
112,0.805045871559633
113,0.8107798165137615
114,0.7947247706422018
115,0.8038990825688074
116,0.7981651376146789
117,0.7935779816513762
118,0.7889908256880734
119,0.783256880733945
120,0.7821100917431193
