Heads_Pruned,Accuracy_Gnorm
0,0.8124299541518084
1,0.813143148242486
2,0.8132450331125828
3,0.8123280692817116
4,0.8125318390219053
5,0.8123280692817116
6,0.8120224146714213
7,0.8116148751910341
8,0.810697911360163
9,0.8118186449312277
10,0.8116148751910341
11,0.8093734080489048
12,0.8095771777890983
13,0.8075394803871625
14,0.8083545593479369
15,0.8080489047376465
16,0.8074375955170657
17,0.8069281711665818
18,0.8035659704533876
19,0.8035659704533876
20,0.8011207335710647
21,0.801018848700968
22,0.8009169638308711
23,0.7981660723382578
24,0.7994905756495161
25,0.7982679572083545
26,0.7974528782475803
27,0.7921548650025472
28,0.7927661742231279
29,0.7931737137035151
30,0.7936831380539989
31,0.7955170657157412
32,0.7930718288334182
33,0.7929699439633214
34,0.7916454406520632
35,0.7843097300050943
36,0.7848191543555781
37,0.7838003056546103
38,0.7869587366276108
39,0.7867549668874172
40,0.7870606214977076
41,0.7810494141619969
42,0.7823739174732552
43,0.7828833418237392
44,0.7821701477330616
45,0.7846153846153846
46,0.7818644931227713
47,0.7797249108507387
48,0.7807437595517066
49,0.7804381049414162
50,0.7924605196128375
51,0.7901171676006113
52,0.7884870096790627
53,0.7871625063678044
54,0.7726948548140601
55,0.7701477330616403
56,0.7716760061130922
57,0.7715741212429954
58,0.7700458481915435
59,0.769332654100866
60,0.7663779928680591
61,0.7731023942944473
62,0.7731023942944473
63,0.7721854304635761
64,0.7722873153336729
65,0.7735099337748345
66,0.76984207845135
67,0.7690269994905756
68,0.7638308711156393
69,0.7638308711156393
70,0.7615894039735099
71,0.7624044829342843
72,0.7623025980641874
73,0.7590422822210902
74,0.7573102394294448
75,0.7525216505348956
76,0.7461029037187977
77,0.744982170147733
78,0.7433520122261844
79,0.7305145185939887
80,0.7298013245033113
81,0.7357106469689251
82,0.7354049923586348
83,0.7339786041772797
84,0.7339786041772797
85,0.729903209373408
86,0.7250127356087621
87,0.7264391237901172
88,0.7192052980132451
89,0.7170657157412125
90,0.7204279164544065
91,0.7190015282730514
92,0.7195109526235354
93,0.7055527254202751
94,0.7071828833418238
95,0.7049414161996943
96,0.7054508405501783
97,0.6956698930208864
98,0.6917982679572083
99,0.6967906265919511
100,0.6954661232806928
101,0.6907794192562404
102,0.6836474783494652
103,0.6742740703005604
104,0.6701986754966888
105,0.6661232806928171
106,0.6735608762098828
107,0.6736627610799796
108,0.667142129393785
