Heads_Pruned,Accuracy_Gnorm
0,0.34793683138054
1,0.34926133469179826
2,0.3491594498217015
3,0.3500764136525726
4,0.3500764136525726
5,0.3502801833927662
6,0.34946510443199186
7,0.3502801833927662
8,0.3499745287824758
9,0.34936321956189503
10,0.3491594498217015
11,0.35038206826286294
12,0.3485481406011207
13,0.3485481406011207
14,0.34905756495160467
15,0.3483443708609272
16,0.34589913397860417
17,0.34549159449821704
18,0.34630667345899135
19,0.3455934793683138
20,0.34508405501782985
21,0.346001018848701
22,0.34630667345899135
23,0.34763117677024963
24,0.346001018848701
25,0.3481406011207336
26,0.3487519103413143
27,0.35180845644421804
28,0.3522159959246052
29,0.3497707590422822
30,0.3509933774834437
31,0.3508914926133469
32,0.35038206826286294
33,0.35068772287315336
34,0.3508914926133469
35,0.35201222618441164
36,0.3497707590422822
37,0.35078960774325013
38,0.3502801833927662
39,0.35068772287315336
40,0.3512990320937341
41,0.3512990320937341
42,0.35119714722363726
43,0.35282730514518595
44,0.3521141110545084
45,0.35160468670402445
46,0.3521141110545084
47,0.3536423841059603
48,0.3515028018339277
49,0.352317880794702
50,0.3512990320937341
51,0.35180845644421804
52,0.3497707590422822
53,0.3481406011207336
54,0.349872643912379
55,0.3489556800815079
56,0.3501782985226694
57,0.34966887417218545
58,0.35038206826286294
59,0.3489556800815079
60,0.35119714722363726
61,0.3534386143657667
62,0.352317880794702
63,0.35119714722363726
64,0.3519103413143148
65,0.35241976566479877
66,0.35537442689760573
67,0.3548650025471218
68,0.35394803871625063
69,0.3515028018339277
70,0.35140091696383086
71,0.3543555781966378
72,0.3515028018339277
73,0.3517065715741212
74,0.3550687722873153
75,0.3588385124808966
76,0.3608762098828324
77,0.3633214467651554
78,0.3641365257259297
79,0.3626082526744778
80,0.36342333163525214
81,0.360570555272542
82,0.3568008150789608
83,0.35720835455934796
84,0.35832908813041264
85,0.35894039735099337
86,0.36250636780438106
87,0.3643402954661233
88,0.3645440652063169
89,0.36352521650534897
90,0.36383087111563933
91,0.36148751910341315
92,0.360570555272542
93,0.3608762098828324
94,0.3653591441670912
95,0.36800815078960775
96,0.3674987264391238
97,0.37259296994396335
98,0.3748344370860927
99,0.3847172694854814
100,0.3916454406520632
101,0.38858889454915946
102,0.39429444727457974
103,0.3839021905247071
104,0.4011207335710647
105,0.41558838512480895
106,0.4204788588894549
107,0.42231278655119714
108,0.4251655629139073
109,0.4171166581762608
110,0.4040753948038716
111,0.39979623025980643
112,0.4313805399898115
113,0.4392256749872644
114,0.4392256749872644
115,0.4366785532348446
116,0.43861436576668367
117,0.43749363219561893
118,0.40397350993377484
119,0.4379011716760061
120,0.4415690269994906
