Heads Pruned,Accuracy_Gnorm
0,0.9243119266055045
1,0.9220183486238532
2,0.9185779816513762
3,0.9185779816513762
4,0.9185779816513762
5,0.9185779816513762
6,0.9185779816513762
7,0.9185779816513762
8,0.9174311926605505
9,0.9174311926605505
10,0.9174311926605505
11,0.9162844036697247
12,0.9162844036697247
13,0.9139908256880734
14,0.9162844036697247
15,0.9162844036697247
16,0.9162844036697247
17,0.9162844036697247
18,0.9197247706422018
19,0.9174311926605505
20,0.9185779816513762
21,0.9197247706422018
22,0.9174311926605505
23,0.9174311926605505
24,0.9185779816513762
25,0.9220183486238532
26,0.9162844036697247
27,0.9174311926605505
28,0.9185779816513762
29,0.9174311926605505
30,0.9174311926605505
31,0.9185779816513762
32,0.9162844036697247
33,0.9208715596330275
34,0.9220183486238532
35,0.9208715596330275
36,0.9185779816513762
37,0.9162844036697247
38,0.9174311926605505
39,0.9197247706422018
40,0.9174311926605505
41,0.9197247706422018
42,0.9208715596330275
43,0.9208715596330275
44,0.9208715596330275
45,0.9208715596330275
46,0.9197247706422018
47,0.9174311926605505
48,0.9151376146788991
49,0.9151376146788991
50,0.9162844036697247
51,0.9162844036697247
52,0.9208715596330275
53,0.9197247706422018
54,0.9174311926605505
55,0.9162844036697247
56,0.911697247706422
57,0.911697247706422
58,0.911697247706422
59,0.9105504587155964
60,0.9105504587155964
61,0.9094036697247706
62,0.908256880733945
63,0.9105504587155964
64,0.9105504587155964
65,0.9094036697247706
66,0.9071100917431193
67,0.908256880733945
68,0.9059633027522935
69,0.9094036697247706
70,0.911697247706422
71,0.911697247706422
72,0.9036697247706422
73,0.8990825688073395
74,0.8979357798165137
75,0.8979357798165137
76,0.8967889908256881
77,0.893348623853211
78,0.8956422018348624
79,0.9025229357798165
80,0.9002293577981652
81,0.9013761467889908
82,0.8979357798165137
83,0.9025229357798165
84,0.9059633027522935
85,0.9013761467889908
86,0.8990825688073395
87,0.8990825688073395
88,0.9013761467889908
89,0.9002293577981652
90,0.9013761467889908
91,0.9048165137614679
92,0.9071100917431193
93,0.9048165137614679
94,0.8967889908256881
95,0.8967889908256881
96,0.893348623853211
97,0.8899082568807339
98,0.8910550458715596
99,0.8864678899082569
100,0.8876146788990825
101,0.8899082568807339
102,0.8841743119266054
103,0.8692660550458715
104,0.8727064220183486
105,0.8681192660550459
106,0.8577981651376146
107,0.8451834862385321
108,0.8394495412844036
