Heads Pruned,Accuracy_Gnorm
0,0.9403669724770642
1,0.9403669724770642
2,0.9392201834862385
3,0.9392201834862385
4,0.9392201834862385
5,0.9380733944954128
6,0.9392201834862385
7,0.9392201834862385
8,0.9403669724770642
9,0.9392201834862385
10,0.9380733944954128
11,0.9392201834862385
12,0.9415137614678899
13,0.9415137614678899
14,0.9392201834862385
15,0.9380733944954128
16,0.9380733944954128
17,0.9380733944954128
18,0.9392201834862385
19,0.9403669724770642
20,0.9403669724770642
21,0.9403669724770642
22,0.9334862385321101
23,0.9334862385321101
24,0.9346330275229358
25,0.9323394495412844
26,0.9323394495412844
27,0.9311926605504587
28,0.9288990825688074
29,0.9254587155963303
30,0.926605504587156
31,0.9254587155963303
32,0.926605504587156
33,0.930045871559633
34,0.930045871559633
35,0.926605504587156
36,0.9288990825688074
37,0.9277522935779816
38,0.9288990825688074
39,0.9288990825688074
40,0.9231651376146789
41,0.9231651376146789
42,0.9231651376146789
43,0.9208715596330275
44,0.9243119266055045
45,0.9243119266055045
46,0.9197247706422018
47,0.9197247706422018
48,0.9094036697247706
49,0.908256880733945
50,0.9128440366972477
51,0.9128440366972477
52,0.9105504587155964
53,0.9094036697247706
54,0.9048165137614679
55,0.9036697247706422
56,0.9048165137614679
57,0.9048165137614679
58,0.9013761467889908
59,0.9025229357798165
60,0.9002293577981652
61,0.8979357798165137
62,0.8979357798165137
63,0.8967889908256881
64,0.8990825688073395
65,0.8922018348623854
66,0.8956422018348624
67,0.893348623853211
68,0.8727064220183486
69,0.8738532110091743
70,0.875
71,0.8772935779816514
72,0.8772935779816514
