Step,Heads Pruned,Time_Gnorm_sec,Time_Taylor_sec,Time_Attr_sec
1,1,26.97363173495978,9.347028041025624,24.50477333192248
2,2,26.92040188703686,9.351065461989492,24.493799299933016
3,3,26.86737898096908,9.3224662799621,24.45048875489738
4,4,26.839017074089497,9.292016039951704,24.378175065037794
5,5,26.762979418039322,9.341824038070627,24.293960456969216
6,6,26.7492311950773,9.283181372098625,24.220485284924507
7,7,26.66662346397061,9.311238424037583,24.167585510062054
8,8,26.61584371596109,9.246897765086032,24.128287757048383
9,9,26.641375744948164,9.319811415974982,24.170643338002264
10,10,26.489667939022183,9.2535952180624,24.03636520996224
11,11,26.40777579508722,9.189046753919683,23.994420515024103
12,12,26.340397557942197,9.220976833021268,23.965904247015715
13,13,26.31288829492405,9.15063633909449,23.91185915400274
14,14,26.287976405932568,9.184206458972767,23.840848288033158
15,15,26.25071367190685,9.133272018050775,23.785225488012657
16,16,26.13860951992683,9.111221357947215,23.746409190935083
17,17,26.073417167994194,9.049128497950733,23.72232535108924
18,18,25.994011179893278,9.072303396998905,23.677456689998507
19,19,25.93446963094175,8.999792865011841,23.688893612008542
20,20,25.95613793004304,9.05136024497915,23.563445299048908
21,21,25.844399927998893,9.007017424097285,23.477884273044765
22,22,25.75158583908342,8.975887181935832,23.44113449996803
23,23,25.72408679604996,8.944962408975698,23.396263436065055
24,24,25.585277725942433,8.937676019966602,23.360741171054542
25,25,25.67885919602122,8.911853919969872,23.30180584208574
26,26,25.435279024066404,8.881120359059423,23.26400443702005
27,27,25.41196471103467,8.856562094995752,23.173230540007353
28,28,25.268235142924823,8.901674886932597,23.08304966101423
29,29,25.281649712007493,8.803711126907729,23.146060373983346
30,30,25.175355038023554,8.766532451030798,23.00516406004317
31,31,25.121611222974025,8.780298401950859,22.87168555590324
32,32,25.0390490089776,8.76979648298584,22.82487328897696
33,33,24.97890639794059,8.72814199293498,22.699173195054755
34,34,24.8827929450199,8.710896049044095,22.66799731005449
35,35,24.811206507962197,8.6943679000251,22.62398547003977
36,36,24.8294702389976,8.651770462980494,22.5557247470133
37,37,24.74398404196836,8.761682448908687,22.515631760004908
38,38,24.66846389393322,8.622000248986296,22.541934772976674
39,39,24.575633566942997,8.60132668307051,22.424980095936917
40,40,24.534336679964326,8.55701379897073,22.384202938061208
41,41,24.59126046008896,8.600500077940524,22.317658675950952
42,42,24.412046983023174,8.549953846028075,22.22660331404768
43,43,24.343946701963432,8.533974830061197,22.117304838029668
44,44,24.237719813012518,8.523768624989316,22.085568079026416
45,45,24.198087970959023,8.505469945957884,22.043864939943887
46,46,24.13389463897329,8.421066234004684,21.98399839596823
47,47,24.08735513908323,8.518594076973386,21.944759528967552
48,48,24.09304741898086,8.407697835937142,21.926398840965703
49,49,24.00869986298494,8.378869218984619,21.819904127973132
50,50,23.895637492998503,8.376020480995066,21.799611730035394
51,51,23.861569269094616,8.352144075906835,21.733553319005296
52,52,23.783947669900954,8.290833523962647,21.66659872001037
53,53,23.72550561989192,8.27051611605566,21.63910270796623
54,54,23.63222109794151,8.264502222998999,21.588126323069446
55,55,23.55973090894986,8.229575679986738,21.537789021036588
56,56,23.52675424097106,8.316920525976457,21.456263629952446
57,57,23.43864978395868,8.216338551021181,21.433743022964336
58,58,23.402760054101236,8.20219710294623,21.266623878036626
59,59,23.30512749706395,8.164379446068779,21.26361706701573
60,60,23.271364804008044,8.158254574984312,21.145850547007285
61,61,23.23487225000281,8.128813022980466,21.051734320935793
62,62,23.23909966496285,8.105982071021572,21.04985007806681
63,63,23.055884526111186,8.059853393002413,20.979897679993883
64,64,22.988885845057666,8.021162730990909,20.95038825296797
65,65,22.881765677942894,8.085362310055643,20.838406898081303
66,66,22.77413843991235,7.96852833009325,20.82799040689133
67,67,22.822549781994894,7.961984204011969,20.936474416055717
68,68,22.60861836897675,7.941656994982623,20.69387966103386
69,69,22.52099383098539,7.932676741038449,20.602835795958526
70,70,22.479032343951985,7.966160647920333,20.536774331936613
71,71,22.425546559039503,7.937656430993229,20.444711441989057
72,72,22.55514213698916,7.881803068914451,20.440541966003366
73,73,22.33908108493779,7.822983902995475,20.342987773008645
74,74,22.246787728043273,7.799019780009985,20.286628803936765
75,75,22.19899418600835,7.920474841026589,20.24106092203874
76,76,22.12457496090792,7.765523142996244,20.262561158975586
77,77,22.048770154011436,7.759790527983569,20.08241627807729
78,78,21.98221015103627,7.728381076944061,20.009231607080437
79,79,21.9141724309884,7.69525223702658,19.84583397093229
80,80,21.89155473501887,7.709458671044558,19.90529265603982
81,81,21.78195848094765,7.689092088025063,19.8257892470574
82,82,21.763357280986384,7.648927457048558,19.762522398959845
83,83,21.65472761495039,7.648629885050468,19.754038561019115
84,84,21.576774224988185,7.709569984930567,19.674637129995972
85,85,21.465491333976388,7.587515737046488,19.668238990940154
86,86,21.432177689974196,7.566876690951176,19.52212418196723
87,87,21.363983187940903,7.529040069901384,19.51217063202057
88,88,21.289937324938364,7.510110497009009,19.397566001978703
89,89,21.23181907297112,7.510383044951595,19.358607104048133
90,90,21.168531770003028,7.480045479023829,19.26233575004153
91,91,21.08295640605502,7.4468398310709745,19.159884997992776
92,92,20.99685012397822,7.413646774017252,19.105529736028984
93,93,21.00561390304938,7.5061927259666845,19.058289834065363
94,94,20.884723752969876,7.387669979943894,18.98422560491599
