Step,Heads Pruned,Time_AE_sec,Time_AE_Inverse_sec
1,1,8.262866440985817,7.8895886550308205
2,2,6.8183906900230795,6.814042332000099
3,3,6.801132058957592,6.812527347006835
4,4,6.785322637006175,6.813989004993346
5,5,6.7809489099890925,6.7989508509635925
6,6,6.844081272021867,6.773081446008291
7,7,6.730593790998682,6.763219351996668
8,8,6.731463660020381,6.763017210003454
9,9,6.720575929037295,6.742554452037439
10,10,6.7039666950004175,6.806747309979983
11,11,6.692333427025005,6.72375030402327
12,12,6.676726410980336,6.691023464023601
13,13,6.6545741590089165,6.6885731820366345
14,14,6.640949762018863,6.656200346013065
15,15,6.615998058987316,6.6385919119929895
16,16,6.60270984901581,6.625940010009799
17,17,6.663772790983785,6.622977307997644
18,18,6.564189906988759,6.595403551007621
19,19,6.550327275006566,6.56108451000182
20,20,6.5313000659807585,6.6621563759981655
21,21,6.52657362195896,6.57373619399732
22,22,6.504985147970729,6.555377981043421
23,23,6.484534221992362,6.516698560968507
24,24,6.473114145977888,6.500380482990295
25,25,6.456264967971947,6.492383677978069
26,26,6.443141861993354,6.469327404978685
27,27,6.427145707013551,6.488167504023295
28,28,6.530209922988433,6.483915312972385
29,29,6.408238277013879,6.452906849968713
30,30,6.384742185007781,6.433594630972948
31,31,6.360446650010999,6.496819670021068
32,32,6.349125968001317,6.375336595985573
33,33,6.3422541309846565,6.413342644984368
34,34,6.323753079981543,6.365720268979203
35,35,6.326827988959849,6.331933569977991
36,36,6.2791973650455475,6.307020756008569
37,37,6.264258734008763,6.287549378990661
38,38,6.24555065802997,6.32864411000628
39,39,6.312003194005229,6.285601670970209
40,40,6.2280658690142445,6.258421396021731
41,41,6.213934763974976,6.317876053974032
42,42,6.200247336004395,6.200772340991534
43,43,6.1659483890398405,6.242175473016687
44,44,6.148225814977195,6.196928343968466
45,45,6.135500017029699,6.181133128004149
46,46,6.117607296968345,6.150608380965423
47,47,6.097508263017517,6.132117759028915
48,48,6.10343458497664,6.145582028024364
49,49,6.157908391032834,6.132128506025765
50,50,6.055860126041807,6.091649520967621
51,51,6.040520422975533,6.061935288016684
52,52,6.02947818004759,6.12389061099384
53,53,6.017514862993266,6.054101229994558
54,54,5.987588666961528,6.054787685978226
55,55,5.998006470035762,6.0057318830513395
56,56,5.944938902975991,5.981806779978797
57,57,5.954356430971529,5.966605433030054
58,58,5.922823310014792,5.959081644017715
59,59,5.997395558981225,5.96258009102894
60,60,5.904857219022233,5.915968532965053
61,61,5.886136314016767,5.901210307027213
62,62,5.866925569018349,5.954225019959267
63,63,5.852488429984078,5.846026699000504
64,64,5.8306668029981665,5.8197781150229275
65,65,5.814859295962378,5.82104461605195
66,66,5.81395916902693,5.805519661051221
67,67,5.780981955002062,5.810286161024123
68,68,5.765519023989327,5.807699173979927
69,69,5.837081029021647,5.747092686011456
70,70,5.718469837040175,5.737194607965648
71,71,5.692469596979208,5.705061263986863
72,72,5.683326212980319,5.788280525011942
73,73,5.658184480969794,5.706194845028222
74,74,5.643579497002065,5.674138344009407
75,75,5.6226307899923995,5.630111130012665
76,76,5.625770615995862,5.600301162048709
77,77,5.5909882929991,5.584346154006198
78,78,5.589034988952335,5.594987154996488
79,79,5.56067856302252,5.587527327996213
80,80,5.617219445004594,5.558816226024646
81,81,5.5591562000336125,5.535492292023264
82,82,5.514514451031573,5.571366888994817
83,83,5.485794748994522,5.494465547031723
84,84,5.495616129017435,5.5005362830124795
85,85,5.473572788992897,5.4588458010111935
86,86,5.449910802009981,5.415346138004679
87,87,5.437491835968103,5.409340857004281
88,88,5.424800444976427,5.375617499987129
89,89,5.383483426994644,5.400142921018414
90,90,5.440770432003774,5.374559338961262
91,91,5.3432397400029,5.336069497978315
92,92,5.326295191014651,5.317681843007449
93,93,5.304499474994373,5.390566159971058
94,94,5.278054649010301,5.250572373974137
95,95,5.261489089054521,5.304433954006527
96,96,5.259045290993527,5.267860157997347
97,97,5.222088496026117,5.232553668029141
98,98,5.218933250987902,5.197427679027896
99,99,5.190290970029309,5.168966998986434
100,100,5.239451837027445,5.157434019027278
101,101,5.150691854010802,5.1797244679764844
102,102,5.143264563987032,5.145193859003484
103,103,5.118102986016311,5.190802033990622
104,104,5.11057019297732,5.093904301989824
105,105,5.094268207962159,5.067738787969574
106,106,5.062986032047775,5.0430434989975765
107,107,5.0421054440084845,5.024465659982525
108,108,5.03273293498205,5.02347453701077
109,109,4.993958031991497,5.020919083966874
110,110,5.102950890955981,4.994745314004831
111,111,4.992521840031259,4.974797000992112
112,112,4.951842226961162,4.957598106004298
113,113,4.943886072025634,5.0014184640021995
114,114,4.915353239979595,4.924158274952788
115,115,4.909919741970953,4.882573923969176
116,116,4.881331701006275,4.859522678016219
117,117,4.854462887044065,4.863016436982434
118,118,4.832774656999391,4.828813396976329
119,119,4.827206451969687,4.803924117994029
120,120,4.885372254007962,4.789356249035336
121,121,4.7890119520016015,4.766722654982004
122,122,4.7648744960315526,4.74280201504007
123,123,4.75296342902584,4.819089213968255
124,124,4.730630762001965,4.711221955018118
125,125,4.704919153999072,4.712643849954475
126,126,4.701531681988854,4.672131600964349
127,127,4.678854017984122,4.655698092014063
128,128,4.656856239947956,4.642228604992852
129,129,4.6319642959861085,4.639339937013574
130,130,4.7113753000157885,4.602694838948082
131,131,4.619518665014766,4.600846890010871
132,132,4.575437650026288,4.568242632958572
133,133,4.552645166986622,4.629298342973925
134,134,4.538373134972062,4.526297337026335
135,135,4.527209863997996,4.513067533960566
136,136,4.509180871013086,4.4886628040112555
137,137,4.473525538982358,4.471877644013148
138,138,4.452073088963516,4.455530882987659
139,139,4.429726246045902,4.441904006991535
140,140,4.485214025015011,4.398813515028451
141,141,4.369200055021793,4.394809078017715
142,142,4.389571258972865,4.365601044031791
143,143,4.353231167013291,4.4211719240411185
144,144,4.325465149013326,4.334773481008597
Total,All,815.5711590329884,816.8272953180131
