Step,Heads Pruned,Time_Static_Taylor_sec,Time_Static_AttAttr_sec
1,1,3.70749862699995,3.7193677619998198
2,2,3.694984163999834,3.713837376999436
3,3,3.7130969780009764,3.6992525949990522
4,4,3.707166190000862,3.69268797299992
5,5,3.697355164000328,3.683968368999558
6,6,3.683055423998667,3.6818826660000923
7,7,3.66879445000086,3.689109588000065
8,8,3.667188064000584,3.719446009001331
9,9,3.6544112520005,3.712380912998924
10,10,3.6476952569992136,3.6849296750006033
11,11,3.6304885000008653,3.664807061999454
12,12,3.640409515999636,3.6582603820006625
13,13,3.623176646000502,3.6582324049995805
14,14,3.633965711000201,3.6496465820000594
15,15,3.6185015800001565,3.640483649998714
16,16,3.6109164240006066,3.631576395000593
17,17,3.660587005999332,3.698660154999743
18,18,3.584851711000738,3.6148643420001463
19,19,3.5744478849992447,3.6224814540000807
20,20,3.5563570329995855,3.603481060001286
21,21,3.5641649329991196,3.65810271600094
22,22,3.563855042999421,3.5995572850006283
23,23,3.559448497999256,3.5785622530002
24,24,3.5475693119988136,3.5705671569994593
25,25,3.5347791709991725,3.5666861289992084
26,26,3.5223718030010787,3.555611093999687
27,27,3.532562832999247,3.5469615860001795
28,28,3.5032103229987115,3.531271548999939
29,29,3.4935359780010913,3.5192150700004277
30,30,3.4926089879991196,3.5168078639999294
31,31,3.480358080998485,3.5020164259985904
32,32,3.4671491800017975,3.492743213999347
33,33,3.4609094460010965,3.478960754999207
34,34,3.4499728410009993,3.5693679109990626
35,35,3.433652218000134,3.4655860000002576
36,36,3.4914136539991887,3.460097761000725
37,37,3.428772969999045,3.4612230750008166
38,38,3.412429023999721,3.449358971000038
39,39,3.3987714249997225,3.440705861999959
40,40,3.38740343399877,3.4326359379992937
41,41,3.381401831999028,3.438272882000092
42,42,3.380203151000387,3.4154182340007537
43,43,3.3598903570000402,3.409427600001436
44,44,3.350002556000618,3.3996304540014535
45,45,3.3411842820005404,3.3890739979997306
46,46,3.3319502510003076,3.4098123269995995
47,47,3.318648784001198,3.3837920030000532
48,48,3.3175293749991397,3.3512981290004973
49,49,3.3181260460005433,3.353386501999921
50,50,3.29970481700002,3.3393852890003473
51,51,3.2790588439984276,3.4045415629989293
52,52,3.2843501019997348,3.3205435760010005
53,53,3.265014193000752,3.3171123529991746
54,54,3.3270929979989887,3.2956910639986745
55,55,3.245911463000084,3.291512968000461
56,56,3.2324159550007607,3.3276834650005185
57,57,3.221843377999903,3.2752594180001324
58,58,3.211222470001303,3.2663891060001333
59,59,3.193982548000349,3.251923142999658
60,60,3.187868663999325,3.237874926000586
61,61,3.1817216069994174,3.234970532999796
62,62,3.175260126001376,3.225526426000215
63,63,3.1579418099991017,3.2182175439993443
64,64,3.1496436329998687,3.2024078859994916
65,65,3.153179150000142,3.1990873209997517
66,66,3.1444624670002668,3.2153990200004046
67,67,3.134212278000632,3.24918182699912
68,68,3.123629362000429,3.1598759509997763
69,69,3.117629718999524,3.160441145000732
70,70,3.1064355180005805,3.153101924001021
71,71,3.1715804010000284,3.137085788999684
72,72,3.0869557019996137,3.123237313999198
73,73,3.0832873999988806,3.122300727998663
74,74,3.081262764000712,3.1696875739999086
75,75,3.06768728499992,3.105667412999537
76,76,3.077891859000374,3.089258036001411
77,77,3.058243396000762,3.069214033001117
78,78,3.047707930998513,3.062618582000141
79,79,3.0360937929999636,3.054206419001275
80,80,3.0434298899999703,3.045610929000759
81,81,3.0265825139995286,3.0295529300001363
82,82,3.022486965999633,3.061019700999168
83,83,3.004770447998453,3.0197876340007497
84,84,2.996192589000202,3.156521908000286
85,85,2.9824300179989223,3.0150928949988156
86,86,2.9707035920000635,2.9882864680002967
87,87,2.963994461999391,2.981984893000117
88,88,3.0228489870005433,2.966963326000041
89,89,2.9520970470002794,2.9569428410013643
90,90,2.9339380500005063,2.9535806879994198
91,91,2.9247415289992205,2.934043950999694
92,92,2.907328805000361,2.9220432370002527
93,93,2.906649628001105,2.9083058619999065
94,94,2.8939697740006523,2.904965634999826
95,95,2.8871337359996687,2.8978607839999313
96,96,2.874632331000612,2.8826248819987086
97,97,2.8658891360009875,2.8891053669995017
98,98,2.85529523400146,2.863491320000321
99,99,2.8452815750006266,2.85390163899865
100,100,2.83847912300007,2.907782058000521
101,101,2.8262201210000057,2.8368818550006836
102,102,2.8201868800006196,2.818934797998736
103,103,2.8082598080000025,2.8070930409994617
104,104,2.8009870780006167,2.801287868000145
105,105,2.8552407620009035,2.7900693009996758
106,106,2.779153454999687,2.784268678000444
107,107,2.764955900000132,2.774807404999592
108,108,2.7600179580003896,2.762367806999464
109,109,2.751562938999996,2.7498738929989486
110,110,2.7407229300006293,2.7343015559999913
111,111,2.7263924469989433,2.722860526999284
112,112,2.716193194999505,2.7217407940006524
113,113,2.7020999590004067,2.706328162999853
114,114,2.6910204920004617,2.7064935519993014
115,115,2.6858245530002023,2.684771426000225
116,116,2.6785363420003705,2.6793639110001095
117,117,2.6661571260010533,2.752682250998987
118,118,2.662360164000347,2.6522916949998034
119,119,2.648928552000143,2.6497582889987825
120,120,2.6379372510000394,2.6367359699997905
121,121,2.690918824999244,2.6293514520002645
122,122,2.617646995000541,2.6085676080001576
123,123,2.6058503490003204,2.6081575230000453
124,124,2.5924552630003745,2.6023295989998587
125,125,2.5860392350004986,2.584190760000638
126,126,2.5693816740003967,2.572948381999595
127,127,2.565143898000315,2.560051681999539
128,128,2.551162485000532,2.549326934999044
129,129,2.5404656139999133,2.5374576869999146
130,130,2.5226391550004337,2.5228856100002304
131,131,2.517920412001331,2.517763271998774
132,132,2.5121293700012757,2.508543133000785
133,133,2.4966117610001675,2.5573172200001864
134,134,2.4812218280003435,2.4854383130004862
135,135,2.474347219000265,2.4743810660002055
136,136,2.4623441959993215,2.4625504369996634
137,137,2.4496224129998154,2.4543489450006746
138,138,2.5058298780004407,2.4382348749986704
139,139,2.4325877110004512,2.431643107000127
140,140,2.4138972900000226,2.41998757500005
141,141,2.403592677999768,2.4082717260007485
142,142,2.3882507430007536,2.4013487289994373
143,143,2.379894173000139,2.386635112001386
144,144,2.3747102880006423,2.379059897000843
Total,All,444.28683450599965,447.6861733939986
